wt,bl,beetle,mite,male,female,msize,fsize,mmite,fmite,mitenum,logmitenum,broodsize,broodmass,yield,density,clutchsize
15.9,10,W,W,W20,W16,5,4.59,86,263,349,2.544068044,16,2.9511,0.18444375,1.006289308,12
15.7,9,G,G,G17,G03,4.74,4.68,4,2,6,0.84509804,17,3.1457,0.185041176,1.082802548,15
19.86,10,W,W,W23,W10,5.52,5.37,145,144,289,2.462397998,17,2.404,0.141411765,0.855991944,28
19.69,10,G,W,G22,G9,4.95,5.67,111,140,251,2.401400541,18,3.7385,0.207694444,0.914169629,22
20.52,10,G,W,G29,G10,4.85,5.54,93,287,380,2.580924976,20,4.2445,0.212225,0.974658869,12
20.61,10,W,W,W20,W12,5.33,4.47,158,83,241,2.383815366,22,4.4865,0.203931818,1.067442989,24
20.4,10,G,G,G30,G1,5.5,5.78,111,107,218,2.340444115,25,4.4561,0.178244,1.225490196,28
16.19,10,W,C,W16,W27,,,,,,,13,2.7711,0.213161538,0.802964793,14
16.24,10,W,C,W1,W16,,,,,,,27,4.6947,0.173877778,1.662561576,18
16.52,10,W,C,W23,W1,,,,,,,17,2.7561,0.162123529,1.02905569,6
17.36,10,W,C,W8,W23,,,,,,,24,4.1492,0.172883333,1.382488479,16
16.11,9,W,W,W20,W31,5,4.74,1,8,9,1,30,4.4691,0.14897,1.862197393,2
19.54,10,G,G,G15,G22,6.07,5.18,187,89,276,2.442479769,31,4.6382,0.149619355,1.586489253,28
15.06,9,W,W,W10,W11,4.18,5.34,0,4,4,0.698970004,33,3.9413,0.119433333,2.19123506,25
15.84,10,G,C,G7,G24,,,,,,,28,4.0348,0.1441,1.767676768,24
16.48,10,G,C,G2,G28,,,,,,,31,4.4776,0.14443871,1.881067961,29
15.13,9,W,W,W21,W11,4.73,5.16,0,2,2,0.477121255,39,4.1295,0.105884615,2.577660278,29
17.6,10,G,C,G28,G14,,,,,,,3,0.6931,0.231033333,0.170454545,9
14.04,9,G,W,G20,G10,5.126666667,5.27,212,76,288,2.460897843,14,3.4802,0.248586,0.997151,21
19.11,10,G,W,G1,G16,4.76,4.59,148,83,231,2.365487985,15,2.9587,0.197247,0.784929,27
20.25,10,G,W,G7,G11,4.016666667,4.803333333,177,165,342,2.53529412,15,2.5304,0.168693,0.740741,20
15.73,1,C,G,,,,,21,12,33,1.531478917,,,,,
16.41,1,C,G,,,,,41,7,48,1.69019608,,,,,
17.4,1,C,G,,,,,83,52,135,2.133538908,,,,,
15.3,1,C,G,,,,,3,11,14,1.176091259,,,,,
17.5,1,C,G,,,,,32,29,61,1.792391689,,,,,
16.64,1,C,G,,,,,10,2,12,1.113943352,,,,,
15.42,1,C,G,,,,,63,15,78,1.897627091,,,,,
17.65,1,C,G,,,,,41,9,50,1.707570176,,,,,
14.99,1,C,G,,,,,4,1,5,0.77815125,,,,,
15.09,1,C,G,,,,,14,1,15,1.204119983,,,,,
15.01,1,C,G,,,,,27,33,60,1.785329835,,,,,
15.84,1,C,G,,,,,34,34,68,1.838849091,,,,,
17.7,1,C,G,,,,,6,31,37,1.579783597,,,,,
15.37,1,C,G,,,,,47,24,71,1.857332496,,,,,
17.8,1,C,G,,,,,37,50,87,1.944482672,,,,,
15.7,1,C,G,,,,,85,76,161,2.209515015,,,,,
17.68,1,C,G,,,,,51,17,68,1.838849091,,,,,
14.95,1,C,G,,,,,5,3,8,0.954242509,,,,,
17.31,1,C,G,,,,,20,3,23,1.380211242,,,,,
15.17,1,C,G,,,,,11,22,33,1.531478917,,,,,
16.77,1,C,G,,,,,3,0,3,0.602059991,,,,,
16.83,1,C,G,,,,,4,2,6,0.84509804,,,,,
16.09,1,C,G,,,,,31,3,34,1.544068044,,,,,
14.83,1,C,G,,,,,9,18,27,1.447158031,,,,,
20.78,1,C,G,,,,,2,2,4,0.698970004,,,,,
14.14,1,C,G,,,,,3,7,10,1.041392685,,,,,
14.61,1,C,G,,,,,3,12,15,1.204119983,,,,,
14.42,1,C,G,,,,,4,9,13,1.146128036,,,,,
14.58,1,C,G,,,,,0,2,2,0.477121255,,,,,
18.7,1,C,W,,,,,15,2,17,1.255272505,,,,,
20.35,1,C,W,,,,,17,65,82,1.919078092,,,,,
18.43,1,C,W,,,,,6,17,23,1.380211242,,,,,
18.95,1,C,W,,,,,9,29,38,1.591064607,,,,,
14.4,1,C,W,,,,,15,90,105,2.025305865,,,,,
14.09,1,C,W,,,,,7,22,29,1.477121255,,,,,
14.15,1,C,W,,,,,24,26,50,1.707570176,,,,,
20.33,1,C,W,,,,,5,4,9,1,,,,,
18.18,1,C,W,,,,,21,13,34,1.544068044,,,,,
20.53,1,C,W,,,,,19,1,20,1.322219295,,,,,
14.44,1,C,W,,,,,74,9,83,1.924279286,,,,,
18.85,1,C,W,,,,,119,33,152,2.184691431,,,,,
15.93,1,C,W,,,,,72,35,107,2.033423755,,,,,
14.33,1,C,W,,,,,114,51,165,2.220108088,,,,,
20.14,1,C,W,,,,,85,39,124,2.096910013,,,,,
17.34,1,C,W,,,,,60,29,89,1.954242509,,,,,
20.12,1,C,W,,,,,87,28,115,2.064457989,,,,,
18.71,1,C,W,,,,,16,23,39,1.602059991,,,,,
15.36,1,C,W,,,,,8,10,18,1.278753601,,,,,
20.52,1,C,W,,,,,118,9,127,2.10720997,,,,,
17.25,1,C,W,,,,,9,10,19,1.301029996,,,,,
16.22,1,C,W,,,,,112,0,112,2.053078443,,,,,
16.6,1,C,W,,,,,2,25,27,1.447158031,,,,,
14.18,1,C,W,,,,,95,59,154,2.190331698,,,,,
14.49,1,C,W,,,,,119,93,212,2.328379603,,,,,
20.88,1,C,W,,,,,45,43,88,1.949390007,,,,,
16.51,1,C,W,,,,,86,135,221,2.346352974,,,,,
14.07,1,C,W,,,,,52,30,82,1.919078092,,,,,
18.72,1,C,W,,,,,27,90,117,2.071882007,,,,,
16.54,1,C,W,,,,,25,64,89,1.954242509,,,,,
16.12,3,G,C,G18,G24,4.79,5.24,,,,,1,0.22,0.22,0.062035,5
15.2,3,G,C,G8,G23,5.29,4.05,,,,,31,4.2392,0.136748,2.039474,19
14.16,3,G,G,G8,G10,5.05,5.34,306,70,376,,13,2.8569,0.219762,0.918079,13
14.55,3,G,G,G16,G8,4.5,4.97,190,89,279,,22,3.8495,0.174977,1.512027,36
14.04,3,G,W,G20,G10,5.126666667,5.27,212,76,288,,14,3.4802,0.248586,0.997151,21
14.22,3,G,W,G3,G13,4.523333333,4.92,105,78,183,,29,3.4829,0.1201,2.039381,34
14.64,3,W,C,W17,W13,4.153333333,,,,,,33,4.1673,0.126282,2.254098,17
14.87,3,W,C,W14,W8,,4.27,,,,,35,4.4391,0.126831,2.353732,12
14,3,W,G,W15,W21,5.28,5.07,162,41,203,,17,2.8915,0.170088,1.214286,34
14.16,3,W,G,W16,W2,4.48,4.69,146,171,317,,23,3.4896,0.151722,1.624294,26
14.17,3,W,G,W12,W5,3.98,4.71,0,121,121,,40,4.198,0.10495,2.822865,35
14.8,3,W,G,W22,W14,4.14,5.103333333,0,125,125,,27,3.8943,0.144233,1.824324,21
14.89,3,W,G,W21,W7,5.236666667,4.58,37,48,85,,11,2.1264,0.193309,0.738751,33
14.16,3,W,W,W25,W5,4.98,4.563333333,241,139,380,,16,2.7872,0.1742,1.129944,20
14.21,3,W,W,W5,W14,4.346666667,4.96,117,100,217,,31,3.9387,0.127055,2.181562,26
14.39,3,W,W,W9,W15,4.76,4.44,161,133,294,,19,2.9103,0.153174,1.320361,23
20.98,3,W,W,W14,W15,5.24,5.346666667,97,130,227,,15,3.2597,0.217313,0.714967,36
